IntID,ExtID,Type,Longitude,Latitude,uuid
86,10060,B,32.17987900,-28.35798700,A3686D87-45C7-E611-AFEB-00505698216F
87,10061,B,32.17835700,-28.35774700,A4686D87-45C7-E611-AFEB-00505698216F
88,10062,B,32.17809000,-28.35731200,A5686D87-45C7-E611-AFEB-00505698216F
89,10063,B,32.17772000,-28.35684100,A6686D87-45C7-E611-AFEB-00505698216F
90,10065,B,32.17809700,-28.35582300,A7686D87-45C7-E611-AFEB-00505698216F
91,10066,B,32.17868100,-28.35605600,A8686D87-45C7-E611-AFEB-00505698216F
92,10067,B,32.18153400,-28.35315300,A9686D87-45C7-E611-AFEB-00505698216F
93,10068,B,32.18204300,-28.35296000,AA686D87-45C7-E611-AFEB-00505698216F
94,10070,B,32.18307300,-28.35300000,AB686D87-45C7-E611-AFEB-00505698216F
95,10071,B,32.18219100,-28.35371600,AC686D87-45C7-E611-AFEB-00505698216F
96,10072,B,32.18081300,-28.35413500,AD686D87-45C7-E611-AFEB-00505698216F
97,10073,B,32.17990900,-28.34830300,AE686D87-45C7-E611-AFEB-00505698216F
98,10074,B,32.17812000,-28.34782200,AF686D87-45C7-E611-AFEB-00505698216F
99,10075,B,32.17727300,-28.34839400,B0686D87-45C7-E611-AFEB-00505698216F
100,10076,B,32.17076500,-28.34956700,B1686D87-45C7-E611-AFEB-00505698216F
101,10077,B,32.17146700,-28.34792500,B2686D87-45C7-E611-AFEB-00505698216F
102,10078,B,32.17065900,-28.34816700,B3686D87-45C7-E611-AFEB-00505698216F
103,10079,B,32.17025000,-28.34736400,B4686D87-45C7-E611-AFEB-00505698216F
104,10080,B,32.17076500,-28.34629600,B5686D87-45C7-E611-AFEB-00505698216F
105,10081,B,32.17172700,-28.34578500,B6686D87-45C7-E611-AFEB-00505698216F
106,10082,B,32.17074600,-28.34568400,B7686D87-45C7-E611-AFEB-00505698216F
107,10083,B,32.17125000,-28.34112000,B8686D87-45C7-E611-AFEB-00505698216F
108,10085,B,32.20315700,-28.34950600,B9686D87-45C7-E611-AFEB-00505698216F
109,10086,B,32.20421800,-28.35009600,BA686D87-45C7-E611-AFEB-00505698216F
110,10087,B,32.20345500,-28.34852200,BB686D87-45C7-E611-AFEB-00505698216F
111,10089,B,32.20290900,-28.34812100,BC686D87-45C7-E611-AFEB-00505698216F
112,10090,B,32.20305400,-28.34750000,BD686D87-45C7-E611-AFEB-00505698216F
113,10091,B,32.20347000,-28.34699800,BE686D87-45C7-E611-AFEB-00505698216F
114,10092,B,32.20414500,-28.34748800,BF686D87-45C7-E611-AFEB-00505698216F
115,10093,B,32.20487000,-28.34887300,C0686D87-45C7-E611-AFEB-00505698216F
116,10094,B,32.20516000,-28.34867600,C1686D87-45C7-E611-AFEB-00505698216F
117,10095,B,32.20372200,-28.34799400,C2686D87-45C7-E611-AFEB-00505698216F
118,10096,B,32.20583500,-28.34781200,C3686D87-45C7-E611-AFEB-00505698216F
119,10097,B,32.20650600,-28.34688200,C4686D87-45C7-E611-AFEB-00505698216F
120,10098,B,32.20269900,-28.34621600,C5686D87-45C7-E611-AFEB-00505698216F
122,10100,B,32.20365300,-28.34496500,C7686D87-45C7-E611-AFEB-00505698216F
123,10101,B,32.20137200,-28.34129300,C8686D87-45C7-E611-AFEB-00505698216F
124,10102,B,32.20128400,-28.34070600,C9686D87-45C7-E611-AFEB-00505698216F
125,10103,B,32.20088000,-28.33925900,CA686D87-45C7-E611-AFEB-00505698216F
126,10104,B,32.20064300,-28.33876700,CB686D87-45C7-E611-AFEB-00505698216F
127,10105,B,32.20008200,-28.33842900,CC686D87-45C7-E611-AFEB-00505698216F
128,10106,B,32.20125400,-28.33872300,CD686D87-45C7-E611-AFEB-00505698216F
129,10107,B,32.20178400,-28.33858900,CE686D87-45C7-E611-AFEB-00505698216F
130,10108,B,32.20344700,-28.33851100,CF686D87-45C7-E611-AFEB-00505698216F
131,10109,B,32.20346200,-28.33790700,D0686D87-45C7-E611-AFEB-00505698216F
132,10110,B,32.20271100,-28.33750400,D1686D87-45C7-E611-AFEB-00505698216F
133,10111,B,32.20254300,-28.33791000,D2686D87-45C7-E611-AFEB-00505698216F
134,10113,B,32.20127300,-28.33738600,D3686D87-45C7-E611-AFEB-00505698216F
135,10114,B,32.21235000,-28.34506800,D4686D87-45C7-E611-AFEB-00505698216F
136,10116,B,32.21269000,-28.34478400,D5686D87-45C7-E611-AFEB-00505698216F
138,10119,B,32.21380000,-28.34322000,D6686D87-45C7-E611-AFEB-00505698216F
139,10121,B,32.21439600,-28.34240700,D7686D87-45C7-E611-AFEB-00505698216F
140,10122,B,32.21441100,-28.34159800,D8686D87-45C7-E611-AFEB-00505698216F
141,10123,B,32.21451100,-28.34098000,D9686D87-45C7-E611-AFEB-00505698216F
142,10124,B,32.21462500,-28.34124300,DA686D87-45C7-E611-AFEB-00505698216F
143,10125,B,32.21531600,-28.34110200,DB686D87-45C7-E611-AFEB-00505698216F
144,10126,B,32.21591400,-28.34018200,DC686D87-45C7-E611-AFEB-00505698216F
145,10131,B,32.21771500,-28.33893900,DD686D87-45C7-E611-AFEB-00505698216F
146,10132,B,32.21718900,-28.33843900,DE686D87-45C7-E611-AFEB-00505698216F
147,10133,B,32.21759700,-28.33763400,DF686D87-45C7-E611-AFEB-00505698216F
148,16843,B,32.14294400,-28.42940200,E0686D87-45C7-E611-AFEB-00505698216F
149,10135,B,32.21869200,-28.33757300,E1686D87-45C7-E611-AFEB-00505698216F
150,10136,B,32.21902300,-28.33728500,E2686D87-45C7-E611-AFEB-00505698216F
151,11401,B,32.16036700,-28.42335300,E3686D87-45C7-E611-AFEB-00505698216F
152,10138,B,32.21948500,-28.33705400,E4686D87-45C7-E611-AFEB-00505698216F
153,10139,B,32.21937800,-28.33691300,E5686D87-45C7-E611-AFEB-00505698216F
154,10140,B,32.21965300,-28.33631000,E6686D87-45C7-E611-AFEB-00505698216F
155,10141,B,32.22014500,-28.33634100,E7686D87-45C7-E611-AFEB-00505698216F
156,10142,B,32.21970200,-28.33676200,E8686D87-45C7-E611-AFEB-00505698216F
157,10144,B,32.16184300,-28.34059900,E9686D87-45C7-E611-AFEB-00505698216F
158,10145,B,32.17841800,-28.33945200,EA686D87-45C7-E611-AFEB-00505698216F
159,10146,B,32.17833800,-28.33869600,EB686D87-45C7-E611-AFEB-00505698216F
160,10147,B,32.17990200,-28.33931400,EC686D87-45C7-E611-AFEB-00505698216F
161,10148,B,32.22129300,-28.33321100,ED686D87-45C7-E611-AFEB-00505698216F
162,10149,B,32.22377700,-28.33212900,EE686D87-45C7-E611-AFEB-00505698216F
163,10150,B,32.21785200,-28.33366700,EF686D87-45C7-E611-AFEB-00505698216F
164,10152,B,32.21578100,-28.33461800,F0686D87-45C7-E611-AFEB-00505698216F
165,10153,B,32.21583800,-28.33414500,F1686D87-45C7-E611-AFEB-00505698216F
166,10154,B,32.21507100,-28.33443300,F2686D87-45C7-E611-AFEB-00505698216F
167,10155,B,32.21425100,-28.33462200,F3686D87-45C7-E611-AFEB-00505698216F
168,10156,B,32.21395700,-28.33564800,F4686D87-45C7-E611-AFEB-00505698216F
170,10158,B,32.21478900,-28.33667400,F6686D87-45C7-E611-AFEB-00505698216F
171,10159,B,32.21503300,-28.33694700,F7686D87-45C7-E611-AFEB-00505698216F
172,10160,B,32.21575800,-28.33641900,F8686D87-45C7-E611-AFEB-00505698216F
173,10161,B,32.20922600,-28.33510300,F9686D87-45C7-E611-AFEB-00505698216F
175,10163,B,32.20762000,-28.33557200,FB686D87-45C7-E611-AFEB-00505698216F
176,10164,B,32.20797500,-28.33514500,FC686D87-45C7-E611-AFEB-00505698216F
177,10165,B,32.20649100,-28.33611000,FD686D87-45C7-E611-AFEB-00505698216F
178,10166,B,32.14468300,-28.34771900,FE686D87-45C7-E611-AFEB-00505698216F
179,10167,B,32.14447700,-28.34676000,FF686D87-45C7-E611-AFEB-00505698216F
180,10168,B,32.14475200,-28.34615300,00696D87-45C7-E611-AFEB-00505698216F
181,10169,B,32.15446100,-28.34296400,01696D87-45C7-E611-AFEB-00505698216F
182,10170,B,32.15429700,-28.34310500,02696D87-45C7-E611-AFEB-00505698216F
183,10171,B,32.18098500,-28.33728300,03696D87-45C7-E611-AFEB-00505698216F
184,10172,B,32.18029800,-28.33794900,04696D87-45C7-E611-AFEB-00505698216F
185,10173,B,32.18034800,-28.33853000,05696D87-45C7-E611-AFEB-00505698216F
186,10174,B,32.20609800,-28.33568100,06696D87-45C7-E611-AFEB-00505698216F
187,10177,B,32.20472100,-28.33339200,07696D87-45C7-E611-AFEB-00505698216F
188,10178,B,32.20391200,-28.33317600,08696D87-45C7-E611-AFEB-00505698216F
189,10179,B,32.20371800,-28.33363400,09696D87-45C7-E611-AFEB-00505698216F
190,10180,B,32.20337100,-28.33240400,0A696D87-45C7-E611-AFEB-00505698216F
191,10181,B,32.18108000,-28.33885100,0B696D87-45C7-E611-AFEB-00505698216F
192,10182,B,32.18535000,-28.33487000,0C696D87-45C7-E611-AFEB-00505698216F
193,10183,B,32.18711600,-28.33466400,0D696D87-45C7-E611-AFEB-00505698216F
194,10184,B,32.17622000,-28.34114200,0E696D87-45C7-E611-AFEB-00505698216F
195,10185,B,32.21215600,-28.34418100,0F696D87-45C7-E611-AFEB-00505698216F
197,10187,B,32.16948400,-28.33066400,11696D87-45C7-E611-AFEB-00505698216F
198,10188,B,32.17277200,-28.32747700,12696D87-45C7-E611-AFEB-00505698216F
199,10189,B,32.17799400,-28.32854000,13696D87-45C7-E611-AFEB-00505698216F
200,10190,B,32.17816200,-28.33011900,14696D87-45C7-E611-AFEB-00505698216F
201,10191,B,32.17910100,-28.33038200,15696D87-45C7-E611-AFEB-00505698216F
202,10192,B,32.17875700,-28.32796400,16696D87-45C7-E611-AFEB-00505698216F
203,10194,B,32.18593800,-28.31723400,17696D87-45C7-E611-AFEB-00505698216F
