IntID,ExtID,Type,Longitude,Latitude,uuid,cluster
86,10060,B,32.179879,-28.357987,a3686d87-45c7-e611-afeb-00505698216f,1541
87,10061,B,32.178357,-28.357747,a4686d87-45c7-e611-afeb-00505698216f,1541
88,10062,B,32.17809,-28.357312,a5686d87-45c7-e611-afeb-00505698216f,1541
89,10063,B,32.17772,-28.356841,a6686d87-45c7-e611-afeb-00505698216f,1542
90,10065,B,32.178097,-28.355823,a7686d87-45c7-e611-afeb-00505698216f,1542
91,10066,B,32.178681,-28.356056,a8686d87-45c7-e611-afeb-00505698216f,1543
92,10067,B,32.181534,-28.353153,a9686d87-45c7-e611-afeb-00505698216f,1545
93,10068,B,32.182043,-28.35296,aa686d87-45c7-e611-afeb-00505698216f,1545
94,10070,B,32.183073,-28.353,ab686d87-45c7-e611-afeb-00505698216f,1546
95,10071,B,32.182191,-28.353716,ac686d87-45c7-e611-afeb-00505698216f,1545
96,10072,B,32.180813,-28.354135,ad686d87-45c7-e611-afeb-00505698216f,1544
97,10073,B,32.179909,-28.348303,ae686d87-45c7-e611-afeb-00505698216f,3238
98,10074,B,32.17812,-28.347822,af686d87-45c7-e611-afeb-00505698216f,3238
99,10075,B,32.177273,-28.348394,b0686d87-45c7-e611-afeb-00505698216f,3239
100,10076,B,32.170765,-28.349567,b1686d87-45c7-e611-afeb-00505698216f,3242
101,10077,B,32.171467,-28.347925,b2686d87-45c7-e611-afeb-00505698216f,3243
102,10078,B,32.170659,-28.348167,b3686d87-45c7-e611-afeb-00505698216f,3243
103,10079,B,32.17025,-28.347364,b4686d87-45c7-e611-afeb-00505698216f,3243
104,10080,B,32.170765,-28.346296,b5686d87-45c7-e611-afeb-00505698216f,3243
105,10081,B,32.171727,-28.345785,b6686d87-45c7-e611-afeb-00505698216f,3244
106,10082,B,32.170746,-28.345684,b7686d87-45c7-e611-afeb-00505698216f,3244
107,10083,B,32.17125,-28.34112,b8686d87-45c7-e611-afeb-00505698216f,3246
108,10085,B,32.203157,-28.349506,b9686d87-45c7-e611-afeb-00505698216f,3375
109,10086,B,32.204218,-28.350096,ba686d87-45c7-e611-afeb-00505698216f,3374
110,10087,B,32.203455,-28.348522,bb686d87-45c7-e611-afeb-00505698216f,3375
111,10089,B,32.202909,-28.348121,bc686d87-45c7-e611-afeb-00505698216f,3376
112,10090,B,32.203054,-28.3475,bd686d87-45c7-e611-afeb-00505698216f,3376
113,10091,B,32.20347,-28.346998,be686d87-45c7-e611-afeb-00505698216f,3377
114,10092,B,32.204145,-28.347488,bf686d87-45c7-e611-afeb-00505698216f,3377
115,10093,B,32.20487,-28.348873,c0686d87-45c7-e611-afeb-00505698216f,3402
116,10094,B,32.20516,-28.348676,c1686d87-45c7-e611-afeb-00505698216f,3402
117,10095,B,32.203722,-28.347994,c2686d87-45c7-e611-afeb-00505698216f,3376
118,10096,B,32.205835,-28.347812,c3686d87-45c7-e611-afeb-00505698216f,3401
119,10097,B,32.206506,-28.346882,c4686d87-45c7-e611-afeb-00505698216f,3401
120,10098,B,32.202699,-28.346216,c5686d87-45c7-e611-afeb-00505698216f,3377
122,10100,B,32.203653,-28.344965,c7686d87-45c7-e611-afeb-00505698216f,3378
123,10101,B,32.201372,-28.341293,c8686d87-45c7-e611-afeb-00505698216f,3381
124,10102,B,32.201284,-28.340706,c9686d87-45c7-e611-afeb-00505698216f,3382
125,10103,B,32.20088,-28.339259,ca686d87-45c7-e611-afeb-00505698216f,3383
126,10104,B,32.200643,-28.338767,cb686d87-45c7-e611-afeb-00505698216f,1595
127,10105,B,32.200082,-28.338429,cc686d87-45c7-e611-afeb-00505698216f,1595
128,10106,B,32.201254,-28.338723,cd686d87-45c7-e611-afeb-00505698216f,3384
129,10107,B,32.201784,-28.338589,ce686d87-45c7-e611-afeb-00505698216f,3383
130,10108,B,32.203447,-28.338511,cf686d87-45c7-e611-afeb-00505698216f,1600
131,10109,B,32.203462,-28.337907,d0686d87-45c7-e611-afeb-00505698216f,1600
132,10110,B,32.202711,-28.337504,d1686d87-45c7-e611-afeb-00505698216f,1599
